,Titile,Price,redPrice,yellowPrice,bluePrice,brandName,category,swatchesTotal,sellingAttribute,link
96,Wrap Dress,$29.99 ,,,,H&M,ladies_dresses_longsleevedress,4,New Arrival,https://www2.hm.com/en_us/productpage.1145264001.html
97,Patterned Pajamas,$34.99 ,,,,H&M,ladies_nightwear_pyjamas,1,New Arrival,https://www2.hm.com/en_us/productpage.1022377007.html
98,90s Baggy High Jeans,$35.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1126815004.html
99,Straight Cargo Pants,$29.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1115302003.html
100,Crew-neck Sweatshirt,$24.99 ,,,,H&M,ladies_hoodiesswetshirts_sweatshirts,6,New Arrival,https://www2.hm.com/en_us/productpage.1091010027.html
101,Mom Ultra High Ankle Jeans,$34.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1128915006.html
102,Embroidered dress,$64.99 ,,,,H&M,ladies_dresses_shortdresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1145281001.html
103,Ankle-length Pants,$29.99 ,,,,H&M,ladies_trousers_highwaisted,3,New Arrival,https://www2.hm.com/en_us/productpage.1011909028.html
104,Boxy Sweater,$19.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,3,New Arrival,https://www2.hm.com/en_us/productpage.1137692001.html
105,Hoodie,$19.99 ,,,,H&M,ladies_basics_tops_longsleeve,8,New Arrival,https://www2.hm.com/en_us/productpage.0456163145.html
106,Ruffle-trimmed Blouse,$24.99 ,,,,H&M,ladies_shirtsblouses_blouses,3,New Arrival,https://www2.hm.com/en_us/productpage.1126854002.html
107,Wool-blend Coat,$219.00 ,,,,H&M,ladies_premium_selection_jacketscoats,1,New Arrival,https://www2.hm.com/en_us/productpage.1091965003.html
108,Wide Ultra High Jeans,$29.99 ,,,,H&M,ladies_jeans_ripped,2,New Arrival,https://www2.hm.com/en_us/productpage.1067430019.html
109,Ribbed Jersey Bodysuit,$14.99 ,,,,H&M,ladies_tops_bodys,2,New Arrival,https://www2.hm.com/en_us/productpage.1137323003.html
110,Sleeveless Poplin Beach Dress,$34.99 ,,,,H&M,ladies_dresses_maxidresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1116693001.html
111,Corduroy Cargo Pants,$34.99 ,,,,H&M,ladies_divided_new_clothes,2,New Arrival,https://www2.hm.com/en_us/productpage.1108705002.html
112,Bouclé Jacket,$74.99 ,,,,H&M,ladies_blazers,1,New Arrival,https://www2.hm.com/en_us/productpage.0966292007.html
113,Rib-knit Cardigan,$19.99 ,,,,H&M,ladies_cardigansjumpers_cardigans,6,New Arrival,https://www2.hm.com/en_us/productpage.1130762003.html
114,90s Baggy High Cargo Jeans,$34.99 ,,,,H&M,ladies_divided_jeans_loose,3,New Arrival,https://www2.hm.com/en_us/productpage.1121709002.html
115,Cotton Poplin Shirt,$24.99 ,,,,H&M,ladies_shirtsblouses_shirts,5,New Arrival,https://www2.hm.com/en_us/productpage.1126542001.html
116,Silk-blend Rib-knit Dress,$129.00 ,,,,H&M,ladies_dresses_longsleevedress,1,New Arrival,https://www2.hm.com/en_us/productpage.1133911001.html
117,Lyocell-blend Pull-on Pants,$29.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1136647003.html
118,Square-neck Jersey Dress,$29.99 ,,,,H&M,ladies_dresses_mididresses,3,New Arrival,https://www2.hm.com/en_us/productpage.1154836001.html
119,Single-breasted Blazer,$59.99 ,,,,H&M,ladies_blazers,1,New Arrival,https://www2.hm.com/en_us/productpage.1138560002.html
120,Rib-knit Sweater,$24.99 ,,,,H&M,ladies_knitwear,5,New Arrival,https://www2.hm.com/en_us/productpage.1096768008.html
121,Leather Loafers,$84.99 ,,,,H&M,ladies_premium_selection_shoes,2,New Arrival,https://www2.hm.com/en_us/productpage.1132467002.html
122,Lacing-detail rib-knit top,$29.99 ,,,,H&M,ladies_tops_longsleeve,1,New Arrival,https://www2.hm.com/en_us/productpage.1139069002.html
123,High-collar jumper,$49.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,2,New Arrival,https://www2.hm.com/en_us/productpage.1155758002.html
124,Single-breasted Jacket,$49.99 ,,,,H&M,ladies_blazers,4,New Arrival,https://www2.hm.com/en_us/productpage.1127221007.html
125,Pointelle-knit Cotton Sweater,$39.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,1,New Arrival,https://www2.hm.com/en_us/productpage.1139759001.html
126,T-shirt with Motif,$14.99 ,,,,H&M,ladies_tops_printed_tshirts,4,New Arrival,https://www2.hm.com/en_us/productpage.0762470348.html
127,Double-breasted Trench Coat,$84.99 ,,,,H&M,ladies_jacketscoats_coats,2,New Arrival,https://www2.hm.com/en_us/productpage.1128402002.html
128,Beaded-collar Sweater,$34.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,2,New Arrival,https://www2.hm.com/en_us/productpage.1041179002.html
129,Double-breasted Coat,$84.99 ,,,,H&M,ladies_jacketscoats_coats,2,New Arrival,https://www2.hm.com/en_us/productpage.1122086003.html
130,Puffer Vest,$24.99 ,,,,H&M,ladies_jacketscoats_gilets,4,New Arrival,https://www2.hm.com/en_us/productpage.1083326010.html
131,Wrap-front Jacket Dress,$49.99 ,,,,H&M,ladies_dresses_longsleevedress,2,New Arrival,https://www2.hm.com/en_us/productpage.1134304002.html
132,Rib-knit Top,$59.99 ,,,,H&M,ladies_tops_longsleeve,1,New Arrival,https://www2.hm.com/en_us/productpage.1136734001.html
133,Crinkled Shirt,$34.99 ,,,,H&M,ladies_nightwear_loungewear,2,New Arrival,https://www2.hm.com/en_us/productpage.1140590001.html
134,Crochet-look A-line Dress,$79.99 ,,,,H&M,ladies_dresses_aline,1,New Arrival,https://www2.hm.com/en_us/productpage.1108102003.html
135,Flared Low Jeans,$34.99 ,,,,H&M,ladies_jeans_flare,5,New Arrival,https://www2.hm.com/en_us/productpage.1095905006.html
136,Quilted jacket,$64.99 ,,,,H&M,ladies_jacketscoats_jackets,1,New Arrival,https://www2.hm.com/en_us/productpage.1120729002.html
137,Hole-knit Sweater,$34.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,1,New Arrival,https://www2.hm.com/en_us/productpage.1158605001.html
138,Twill Cargo Pants,$29.99 ,,,,H&M,ladies_divided_new_clothes,2,New Arrival,https://www2.hm.com/en_us/productpage.1107358001.html
139,Silk-blend Turtleneck Dress,$119.00 ,,,,H&M,ladies_dresses_mididresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1133912001.html
